country,year,years_since_2015,attack_type,target_industry,financial_loss_million,affected_users,loss_per_user_usd,attack_source,vulnerability_type,defense_mechanism,impact_level,resolution_time_hours,cluster,risk_profile
UK,2017,2,Phishing,Telecommunications,27.08,416833,64.97,Insider,Social Engineering,VPN,Low,9.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2022,7,Ransomware,Government,31.94,485080,65.84,Insider,Weak Passwords,Antivirus,Low,61.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2024,9,Phishing,Education,87.88,263407,333.63,Nation-state,Zero-day,Antivirus,High,8.0,0,High-Loss Targeted Events - DDoS-Led
UK,2015,0,Phishing,IT,30.26,256396,118.02,Hacker Group,Zero-day,Encryption,Low,29.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2016,1,Malware,Healthcare,96.63,808984,119.45,Unattributed,Weak Passwords,Firewall,High,26.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2017,2,Phishing,Healthcare,47.39,470895,100.64,Nation-state,Social Engineering,Encryption,Low,63.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2019,4,DDoS,Telecommunications,36.86,116906,315.3,Insider,Social Engineering,VPN,Low,7.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2020,5,SQL Injection,IT,25.32,644538,39.28,Unattributed,Social Engineering,Antivirus,Medium,57.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2015,0,Phishing,Banking,58.78,861637,68.22,Unattributed,Social Engineering,VPN,High,15.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2024,9,Ransomware,Government,32.21,482574,66.75,Nation-state,Unpatched Software,Firewall,Low,22.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2018,3,SQL Injection,Government,80.06,400807,199.75,Unattributed,Weak Passwords,Firewall,High,67.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2023,8,SQL Injection,Banking,30.68,933754,32.86,Insider,Social Engineering,Firewall,High,36.0,1,Widespread Low-Loss Events - Phishing-Led
China,2018,3,Ransomware,Retail,35.08,42831,819.03,Hacker Group,Social Engineering,Antivirus,Low,42.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2023,8,Man-in-the-Middle,Retail,92.57,813789,113.75,Nation-state,Unpatched Software,Antivirus,High,27.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2015,0,Man-in-the-Middle,Healthcare,82.54,34240,2410.63,Insider,Weak Passwords,Encryption,High,45.0,0,High-Loss Targeted Events - DDoS-Led
France,2022,7,Man-in-the-Middle,IT,78.23,310175,252.21,Hacker Group,Unpatched Software,AI-based Detection,High,53.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2016,1,DDoS,Healthcare,8.01,534847,14.98,Nation-state,Zero-day,Firewall,Medium,3.0,1,Widespread Low-Loss Events - Phishing-Led
India,2019,4,DDoS,Telecommunications,14.53,857688,16.94,Insider,Zero-day,Antivirus,High,55.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2017,2,Man-in-the-Middle,Healthcare,11.3,64472,175.27,Insider,Social Engineering,Firewall,Low,43.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2016,1,Phishing,Education,48.57,907547,53.52,Unattributed,Unpatched Software,Firewall,High,33.0,1,Widespread Low-Loss Events - Phishing-Led
India,2021,6,DDoS,Telecommunications,35.19,155426,226.41,Nation-state,Zero-day,Firewall,Low,16.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2023,8,DDoS,IT,84.19,390409,215.65,Insider,Zero-day,AI-based Detection,High,31.0,0,High-Loss Targeted Events - DDoS-Led
USA,2018,3,DDoS,Government,84.85,639011,132.78,Insider,Weak Passwords,Firewall,High,26.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2023,8,SQL Injection,IT,97.37,796195,122.29,Nation-state,Social Engineering,Firewall,High,20.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2019,4,Ransomware,Banking,22.62,51219,441.63,Unattributed,Zero-day,Encryption,Low,36.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2015,0,Malware,Telecommunications,69.34,20269,3420.99,Unattributed,Social Engineering,VPN,Medium,36.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2020,5,Ransomware,IT,61.69,704157,87.61,Unattributed,Zero-day,Antivirus,Medium,42.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2018,3,SQL Injection,Education,16.23,912558,17.79,Nation-state,Unpatched Software,Antivirus,High,69.0,1,Widespread Low-Loss Events - Phishing-Led
India,2015,0,Man-in-the-Middle,Education,79.89,416328,191.89,Nation-state,Zero-day,Encryption,High,55.0,0,High-Loss Targeted Events - DDoS-Led
India,2023,8,Ransomware,Retail,4.32,217534,19.86,Unattributed,Unpatched Software,VPN,Low,48.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2024,9,Phishing,Banking,70.52,601198,117.3,Insider,Zero-day,Encryption,Medium,41.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2019,4,SQL Injection,Government,85.13,304257,279.8,Nation-state,Weak Passwords,Antivirus,High,20.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2020,5,Phishing,IT,57.43,212798,269.88,Insider,Social Engineering,Antivirus,Medium,31.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2017,2,Ransomware,IT,33.24,550719,60.36,Hacker Group,Zero-day,AI-based Detection,Medium,60.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2020,5,Phishing,Education,49.17,218097,225.45,Unattributed,Zero-day,VPN,Low,32.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2023,8,DDoS,Education,65.96,181879,362.66,Insider,Weak Passwords,Antivirus,Medium,64.0,0,High-Loss Targeted Events - DDoS-Led
UK,2021,6,Malware,Telecommunications,3.17,570243,5.56,Insider,Unpatched Software,Antivirus,Medium,51.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2023,8,Phishing,Government,72.57,720220,100.76,Unattributed,Weak Passwords,Firewall,Medium,71.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2017,2,Phishing,Healthcare,52.7,281182,187.42,Nation-state,Zero-day,Encryption,Medium,27.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2024,9,SQL Injection,Government,63.45,492909,128.73,Unattributed,Zero-day,AI-based Detection,Medium,42.0,0,High-Loss Targeted Events - DDoS-Led
China,2024,9,Malware,Retail,34.49,897277,38.44,Unattributed,Zero-day,VPN,High,55.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2018,3,Malware,Education,33.12,724513,45.71,Nation-state,Zero-day,VPN,Medium,46.0,1,Widespread Low-Loss Events - Phishing-Led
India,2023,8,SQL Injection,Banking,48.53,421083,115.25,Insider,Unpatched Software,AI-based Detection,Low,28.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2023,8,Ransomware,Healthcare,84.92,152814,555.71,Nation-state,Social Engineering,AI-based Detection,High,33.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2015,0,Malware,IT,1.35,371048,3.64,Hacker Group,Zero-day,VPN,Low,56.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2018,3,SQL Injection,Education,52.05,874254,59.54,Nation-state,Zero-day,Antivirus,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2017,2,Phishing,Banking,94.15,963192,97.75,Hacker Group,Weak Passwords,VPN,High,7.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2017,2,Phishing,Banking,90.5,42278,2140.59,Insider,Weak Passwords,AI-based Detection,High,45.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2015,0,Ransomware,Telecommunications,46.39,605536,76.61,Nation-state,Unpatched Software,VPN,Medium,61.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2018,3,DDoS,IT,82.13,220618,372.27,Unattributed,Weak Passwords,Firewall,High,59.0,0,High-Loss Targeted Events - DDoS-Led
China,2022,7,Malware,Education,60.9,331234,183.86,Unattributed,Social Engineering,Antivirus,Medium,3.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2023,8,SQL Injection,Retail,42.33,643549,65.78,Nation-state,Weak Passwords,VPN,Medium,20.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2022,7,Man-in-the-Middle,Education,77.98,899279,86.71,Insider,Zero-day,Firewall,High,39.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2024,9,SQL Injection,Healthcare,76.99,873037,88.19,Nation-state,Unpatched Software,Antivirus,High,31.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2018,3,SQL Injection,Banking,59.29,380543,155.8,Unattributed,Weak Passwords,VPN,Medium,26.0,0,High-Loss Targeted Events - DDoS-Led
France,2018,3,Phishing,Government,70.59,947445,74.51,Insider,Social Engineering,Encryption,High,59.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2022,7,DDoS,Government,50.04,841198,59.49,Unattributed,Zero-day,VPN,High,41.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2017,2,Man-in-the-Middle,Telecommunications,35.27,765929,46.05,Nation-state,Weak Passwords,Firewall,High,16.0,1,Widespread Low-Loss Events - Phishing-Led
Russia,2017,2,Man-in-the-Middle,Retail,17.22,242574,70.99,Nation-state,Social Engineering,Encryption,Low,59.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2024,9,SQL Injection,Education,14.69,783795,18.74,Insider,Weak Passwords,AI-based Detection,High,43.0,1,Widespread Low-Loss Events - Phishing-Led
France,2017,2,SQL Injection,Healthcare,18.75,436009,43.0,Nation-state,Social Engineering,AI-based Detection,Low,44.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2020,5,SQL Injection,Retail,56.3,142291,395.67,Nation-state,Weak Passwords,VPN,Medium,29.0,0,High-Loss Targeted Events - DDoS-Led
France,2021,6,SQL Injection,Government,98.76,904598,109.18,Hacker Group,Social Engineering,AI-based Detection,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2024,9,Phishing,Education,18.64,701144,26.59,Hacker Group,Unpatched Software,Antivirus,Medium,41.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2022,7,Phishing,Retail,13.37,40843,327.35,Unattributed,Weak Passwords,Encryption,Low,66.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2024,9,Man-in-the-Middle,IT,1.75,617939,2.83,Unattributed,Zero-day,Firewall,Medium,22.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2015,0,SQL Injection,Retail,55.78,852650,65.42,Nation-state,Social Engineering,AI-based Detection,High,50.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2016,1,Malware,Government,66.19,91194,725.82,Hacker Group,Unpatched Software,Encryption,Medium,72.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2018,3,Malware,IT,30.2,667023,45.28,Unattributed,Zero-day,Antivirus,Medium,26.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2023,8,SQL Injection,Education,77.96,164892,472.79,Insider,Weak Passwords,Firewall,High,63.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2020,5,SQL Injection,Banking,70.14,575065,121.97,Insider,Weak Passwords,Encryption,Medium,61.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2023,8,DDoS,Government,97.18,692900,140.25,Unattributed,Social Engineering,Encryption,High,72.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2021,6,SQL Injection,IT,92.4,654303,141.22,Hacker Group,Unpatched Software,AI-based Detection,High,15.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2018,3,DDoS,Telecommunications,15.14,834902,18.13,Nation-state,Weak Passwords,Firewall,High,63.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2019,4,Phishing,Banking,84.5,828382,102.01,Hacker Group,Weak Passwords,AI-based Detection,High,4.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2017,2,DDoS,Education,7.84,165722,47.31,Unattributed,Unpatched Software,Encryption,Low,23.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2020,5,Ransomware,Healthcare,37.36,745273,50.13,Insider,Zero-day,Firewall,Medium,67.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2022,7,DDoS,Education,17.68,366968,48.18,Nation-state,Social Engineering,VPN,Low,47.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2017,2,DDoS,Telecommunications,13.31,381948,34.85,Unattributed,Weak Passwords,AI-based Detection,Low,46.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2020,5,Ransomware,Banking,99.9,429566,232.56,Nation-state,Zero-day,AI-based Detection,High,54.0,0,High-Loss Targeted Events - DDoS-Led
China,2018,3,Phishing,Healthcare,42.93,596628,71.95,Hacker Group,Unpatched Software,Antivirus,Medium,60.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2016,1,Phishing,Banking,38.58,447486,86.21,Insider,Weak Passwords,Encryption,Low,7.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2019,4,Malware,Retail,6.47,360381,17.95,Unattributed,Zero-day,VPN,Low,62.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2017,2,Malware,Retail,74.01,750473,98.62,Unattributed,Zero-day,Antivirus,High,41.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2022,7,Man-in-the-Middle,Banking,34.16,346224,98.66,Nation-state,Zero-day,Encryption,Low,64.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2017,2,Ransomware,Healthcare,32.0,175755,182.07,Insider,Weak Passwords,Firewall,Low,30.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2015,0,Man-in-the-Middle,Banking,38.1,187807,202.87,Nation-state,Unpatched Software,VPN,Low,37.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2022,7,Phishing,Government,9.84,580402,16.95,Nation-state,Social Engineering,VPN,Medium,70.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2016,1,Phishing,Retail,89.85,998085,90.02,Insider,Zero-day,VPN,High,7.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2020,5,Phishing,Healthcare,66.55,843310,78.92,Hacker Group,Zero-day,Antivirus,High,71.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2024,9,Ransomware,IT,88.23,526308,167.64,Insider,Unpatched Software,Antivirus,High,23.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2024,9,Man-in-the-Middle,Education,34.42,960625,35.83,Nation-state,Weak Passwords,Firewall,High,48.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2018,3,Ransomware,Banking,50.64,874035,57.94,Insider,Unpatched Software,Antivirus,High,38.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2022,7,Phishing,Retail,22.72,629571,36.09,Hacker Group,Unpatched Software,VPN,Medium,41.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2020,5,Man-in-the-Middle,IT,87.88,731495,120.14,Nation-state,Unpatched Software,Antivirus,High,3.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2023,8,Ransomware,Healthcare,12.79,654947,19.53,Insider,Social Engineering,Encryption,Medium,23.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2024,9,DDoS,Healthcare,77.04,8517,9045.44,Hacker Group,Weak Passwords,Encryption,High,4.0,0,High-Loss Targeted Events - DDoS-Led
USA,2019,4,DDoS,Telecommunications,43.29,266748,162.29,Unattributed,Unpatched Software,Antivirus,Low,30.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2017,2,DDoS,Government,96.89,794147,122.01,Unattributed,Unpatched Software,Antivirus,High,4.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2022,7,Malware,Education,97.32,742866,131.01,Nation-state,Social Engineering,Encryption,High,61.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2023,8,DDoS,Government,34.46,580270,59.39,Unattributed,Unpatched Software,Firewall,Medium,35.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2017,2,Phishing,Telecommunications,19.6,889404,22.04,Unattributed,Weak Passwords,Firewall,High,60.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2017,2,Man-in-the-Middle,Retail,58.98,566242,104.16,Nation-state,Social Engineering,VPN,Medium,63.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
UK,2015,0,Man-in-the-Middle,Retail,7.92,657442,12.05,Nation-state,Social Engineering,Firewall,Medium,29.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2016,1,SQL Injection,Telecommunications,98.39,836521,117.62,Insider,Weak Passwords,Firewall,High,19.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2022,7,SQL Injection,Retail,43.73,392831,111.32,Nation-state,Weak Passwords,AI-based Detection,Low,71.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2022,7,Ransomware,Education,49.56,257224,192.67,Hacker Group,Social Engineering,Firewall,Low,46.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2015,0,Phishing,Telecommunications,73.77,639279,115.4,Nation-state,Zero-day,VPN,Medium,44.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2016,1,Phishing,Government,37.62,465317,80.85,Insider,Social Engineering,Firewall,Low,20.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2018,3,SQL Injection,Healthcare,73.16,849755,86.1,Insider,Weak Passwords,Encryption,High,46.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2015,0,DDoS,Telecommunications,31.68,33098,957.16,Hacker Group,Zero-day,AI-based Detection,Low,8.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2021,6,Ransomware,Healthcare,66.84,242893,275.18,Nation-state,Zero-day,Antivirus,Medium,50.0,0,High-Loss Targeted Events - DDoS-Led
India,2015,0,Ransomware,IT,61.68,503774,122.44,Hacker Group,Zero-day,Firewall,Medium,37.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2018,3,Phishing,Telecommunications,15.56,734448,21.19,Unattributed,Social Engineering,Encryption,Medium,37.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2020,5,DDoS,Education,26.57,384988,69.02,Insider,Zero-day,AI-based Detection,Low,19.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2021,6,Phishing,Telecommunications,55.14,463525,118.96,Nation-state,Unpatched Software,AI-based Detection,Medium,59.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2015,0,Man-in-the-Middle,IT,54.54,775866,70.3,Insider,Weak Passwords,AI-based Detection,High,69.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2018,3,Phishing,Education,82.18,943662,87.09,Unattributed,Weak Passwords,Antivirus,High,47.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2017,2,SQL Injection,Retail,88.18,3200,27556.25,Insider,Weak Passwords,AI-based Detection,High,43.0,0,High-Loss Targeted Events - DDoS-Led
China,2017,2,SQL Injection,Retail,61.83,129677,476.8,Hacker Group,Unpatched Software,Firewall,Medium,60.0,0,High-Loss Targeted Events - DDoS-Led
USA,2016,1,Ransomware,Telecommunications,99.88,999508,99.93,Unattributed,Unpatched Software,VPN,High,23.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2016,1,DDoS,Education,61.23,228033,268.51,Nation-state,Unpatched Software,Encryption,Medium,43.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2021,6,Man-in-the-Middle,Banking,3.69,566386,6.51,Insider,Unpatched Software,Encryption,Medium,45.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2020,5,SQL Injection,IT,68.17,247149,275.83,Nation-state,Unpatched Software,Antivirus,Medium,47.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2020,5,Malware,Government,50.61,294668,171.75,Nation-state,Social Engineering,Encryption,Medium,17.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2020,5,Malware,IT,80.49,661385,121.7,Hacker Group,Zero-day,Encryption,High,26.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2015,0,SQL Injection,Government,14.72,540718,27.22,Insider,Zero-day,AI-based Detection,Medium,6.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2017,2,SQL Injection,Healthcare,12.56,135042,93.01,Nation-state,Weak Passwords,Antivirus,Low,13.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2016,1,DDoS,Healthcare,90.94,326955,278.14,Nation-state,Zero-day,VPN,High,21.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2015,0,SQL Injection,Government,87.71,1579,55547.82,Unattributed,Unpatched Software,Antivirus,High,55.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2022,7,SQL Injection,IT,48.0,876383,54.77,Insider,Zero-day,Encryption,High,72.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2016,1,SQL Injection,Telecommunications,37.17,728731,51.01,Unattributed,Weak Passwords,VPN,Medium,72.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2021,6,DDoS,Banking,74.26,81354,912.8,Insider,Weak Passwords,Firewall,Medium,6.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2016,1,Phishing,Education,97.45,267789,363.91,Insider,Weak Passwords,Encryption,High,26.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2021,6,Malware,Healthcare,23.34,518982,44.97,Hacker Group,Weak Passwords,VPN,Medium,20.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2021,6,SQL Injection,Banking,50.61,772512,65.51,Hacker Group,Weak Passwords,Encryption,High,42.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2022,7,Malware,Education,70.46,427144,164.96,Unattributed,Social Engineering,Firewall,Medium,42.0,0,High-Loss Targeted Events - DDoS-Led
India,2018,3,Phishing,Education,5.27,982450,5.36,Unattributed,Weak Passwords,Firewall,High,32.0,1,Widespread Low-Loss Events - Phishing-Led
India,2021,6,DDoS,Education,95.95,62194,1542.75,Nation-state,Zero-day,AI-based Detection,High,12.0,0,High-Loss Targeted Events - DDoS-Led
UK,2023,8,Man-in-the-Middle,Banking,15.01,416522,36.04,Insider,Social Engineering,VPN,Low,63.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2018,3,DDoS,Telecommunications,47.5,423071,112.27,Unattributed,Unpatched Software,Antivirus,Low,69.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2022,7,Man-in-the-Middle,Telecommunications,0.54,419912,1.29,Nation-state,Zero-day,AI-based Detection,Low,40.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2016,1,Phishing,IT,33.33,51723,644.39,Hacker Group,Weak Passwords,Encryption,Low,23.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2018,3,Man-in-the-Middle,Healthcare,22.61,733934,30.81,Nation-state,Zero-day,Firewall,Medium,31.0,1,Widespread Low-Loss Events - Phishing-Led
China,2021,6,SQL Injection,IT,98.57,430792,228.81,Insider,Weak Passwords,Antivirus,High,9.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2015,0,DDoS,Retail,69.61,26321,2644.66,Nation-state,Zero-day,Encryption,Medium,11.0,0,High-Loss Targeted Events - DDoS-Led
UK,2019,4,SQL Injection,Healthcare,65.47,263110,248.83,Insider,Social Engineering,Firewall,Medium,6.0,0,High-Loss Targeted Events - DDoS-Led
India,2017,2,Malware,Government,61.02,650042,93.87,Nation-state,Unpatched Software,Antivirus,Medium,48.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2023,8,Phishing,IT,15.49,138639,111.73,Hacker Group,Unpatched Software,VPN,Low,14.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2023,8,DDoS,Education,90.38,311596,290.06,Insider,Weak Passwords,VPN,High,23.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2022,7,SQL Injection,Banking,5.85,52649,111.11,Nation-state,Unpatched Software,Encryption,Low,57.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2016,1,DDoS,Education,89.08,210433,423.32,Insider,Weak Passwords,AI-based Detection,High,63.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2015,0,DDoS,Healthcare,4.49,713160,6.3,Hacker Group,Unpatched Software,Encryption,Medium,26.0,1,Widespread Low-Loss Events - Phishing-Led
India,2015,0,Phishing,IT,25.47,741259,34.36,Hacker Group,Unpatched Software,Antivirus,Medium,18.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2020,5,Phishing,Banking,42.03,454763,92.42,Hacker Group,Social Engineering,Firewall,Low,14.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2019,4,Phishing,Telecommunications,33.85,60183,562.45,Nation-state,Unpatched Software,AI-based Detection,Low,17.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2018,3,DDoS,IT,17.99,60917,295.32,Unattributed,Zero-day,VPN,Low,1.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2015,0,Malware,Education,75.2,461291,163.02,Insider,Social Engineering,AI-based Detection,High,5.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2019,4,Malware,IT,8.31,989421,8.4,Unattributed,Zero-day,Firewall,High,46.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2018,3,Man-in-the-Middle,Healthcare,61.93,62185,995.9,Nation-state,Social Engineering,Encryption,Medium,32.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2019,4,Phishing,Government,49.71,647613,76.76,Unattributed,Social Engineering,Antivirus,Medium,53.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2017,2,DDoS,IT,17.49,394109,44.38,Unattributed,Unpatched Software,AI-based Detection,Low,37.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2016,1,DDoS,Banking,77.29,120341,642.26,Nation-state,Zero-day,VPN,High,45.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2020,5,Man-in-the-Middle,Banking,73.85,278424,265.24,Nation-state,Zero-day,Encryption,Medium,9.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2018,3,DDoS,Telecommunications,25.07,732072,34.25,Hacker Group,Social Engineering,Firewall,Medium,35.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2016,1,DDoS,Education,93.39,630087,148.22,Nation-state,Social Engineering,VPN,High,72.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2020,5,Ransomware,Telecommunications,48.68,459635,105.91,Insider,Unpatched Software,Antivirus,Low,49.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2023,8,Malware,Retail,28.79,6691,4302.79,Hacker Group,Zero-day,VPN,Low,57.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2022,7,Malware,Education,35.05,596468,58.76,Insider,Unpatched Software,VPN,Medium,29.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2022,7,SQL Injection,IT,32.17,379954,84.67,Insider,Unpatched Software,Firewall,Low,9.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2019,4,Phishing,Education,80.53,773169,104.16,Hacker Group,Unpatched Software,VPN,High,63.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2018,3,SQL Injection,Government,59.23,909991,65.09,Unattributed,Social Engineering,Antivirus,High,66.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2023,8,DDoS,Telecommunications,51.84,699007,74.16,Hacker Group,Social Engineering,VPN,Medium,30.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2020,5,Man-in-the-Middle,Education,19.81,722788,27.41,Nation-state,Zero-day,Firewall,Medium,70.0,1,Widespread Low-Loss Events - Phishing-Led
