country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
France,2023,SQL Injection,Banking,48.1,360752,Unattributed,Zero-day,Antivirus,21.0,8,133.33259413669225,Low
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13.0,5,28.430386891375857,High
UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64.0,9,18.146401350953113,High
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27.0,9,92.99410437330367,High
USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42.0,4,45.566385803496175,Low
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32.0,5,45.03760799473559,High
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37.0,0,202.86783772702827,Low
China,2024,SQL Injection,Telecommunications,10.18,637350,Unattributed,Weak Passwords,Antivirus,52.0,9,15.972385659370833,Medium
China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65.0,9,152.99407764860715,Low
Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63.0,7,112.30623606387806,High
Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72.0,8,167.77519504729466,Medium
USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14.0,4,111.99355141442481,Medium
Japan,2015,Malware,Healthcare,5.79,821803,Unattributed,Social Engineering,Firewall,40.0,0,7.045484136709162,High
Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unattributed,Zero-day,Antivirus,30.0,5,1166.4680174811283,Low
Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52.0,5,24.97205449435291,Low
Japan,2017,DDoS,IT,86.89,703035,Unattributed,Unpatched Software,Firewall,15.0,2,123.5927087556096,High
Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70.0,7,16.953766527337947,Medium
France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51.0,2,77.96157184516339,Medium
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55.0,8,878.4257786923581,High
UK,2024,Malware,Healthcare,33.21,79940,Unattributed,Zero-day,Firewall,64.0,9,415.43657743307483,Low
China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50.0,8,252.59864160333518,Medium
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26.0,3,132.26355890236346,Medium
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10.0,1,99.01054437387907,Low
France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34.0,6,69.42492551576817,Low
India,2017,Ransomware,Government,89.47,201732,Unattributed,Zero-day,Antivirus,39.0,2,443.50921023932744,High
Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44.0,3,142.51921572523065,Low
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16.0,6,96.97896194468278,High
USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7.0,1,90.02239288236974,High
France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13.0,3,22.538300516233413,Low
Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33.0,7,61.93134859481523,Medium
USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5.0,7,141.62797175398913,High
UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14.0,1,525.1074842426013,Medium
Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35.0,3,64.61222066742992,High
USA,2016,Malware,Retail,41.11,848855,Unattributed,Unpatched Software,VPN,37.0,1,48.42994386556008,High
China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10.0,6,174.1491959300237,Medium
Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15.0,3,25.709709380421458,Medium
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70.0,0,84.48785285569748,Low
Brazil,2023,DDoS,Government,42.75,746425,Unattributed,Zero-day,VPN,24.0,8,57.27300130622635,Medium
Japan,2018,Ransomware,Education,82.89,336607,Unattributed,Zero-day,AI-based Detection,17.0,3,246.25156339588898,High
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72.0,6,37.15772323540232,Medium
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13.0,5,75.18566255447125,Low
Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43.0,0,253.1443581581467,Medium
Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20.0,1,117.63985860721156,Medium
Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36.0,9,84.8125540448696,Low
Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21.0,8,7.518991192448866,Medium
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72.0,9,194.091048436542,Low
UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71.0,5,78.91522690351117,High
China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4.0,1,294.54130035265484,High
India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23.0,9,167.63948106431974,High
Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35.0,3,6.264179053939661,High
China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26.0,9,14.826363578612566,High
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53.0,6,71.849450794609,Low
Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48.0,9,35.83083929733247,High
France,2019,Ransomware,Government,57.9,264088,Unattributed,Weak Passwords,AI-based Detection,28.0,4,219.24510011814243,Medium
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45.0,7,97.78303747534517,Medium
China,2021,Ransomware,Healthcare,56.11,255531,Unattributed,Social Engineering,Firewall,17.0,6,219.58196852828033,Medium
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38.0,3,57.93818325353104,High
USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55.0,2,102.762198563954,Medium
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56.0,3,73.51359639502272,High
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37.0,7,21.80309376750203,Medium
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62.0,1,32.76127407545586,Medium
China,2022,Malware,Retail,11.31,561807,Unattributed,Zero-day,Antivirus,17.0,7,20.131468636026252,Medium
India,2023,SQL Injection,Government,60.53,15768,Unattributed,Zero-day,VPN,66.0,8,3838.7874175545408,Medium
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45.0,4,3036.424760201092,High
China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61.0,6,294.6766329263035,High
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17.0,5,119.49373073463711,Medium
China,2020,Man-in-the-Middle,Education,1.05,255393,Unattributed,Unpatched Software,Encryption,71.0,5,4.111310803350131,Low
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9.0,2,637.5651064734436,High
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11.0,0,135.6187711119176,Low
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22.0,8,272.205828719207,Low
China,2019,Ransomware,Government,15.42,555153,Unattributed,Zero-day,Encryption,11.0,4,27.776126581320824,Medium
India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18.0,3,479.82008019050335,Low
Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58.0,4,83.34504057545962,Medium
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unattributed,Social Engineering,Firewall,28.0,0,66.46090556056926,High
Brazil,2016,DDoS,Telecommunications,94.1,838739,Unattributed,Social Engineering,VPN,21.0,1,112.19223143313951,High
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17.0,8,63.07431503960512,Low
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59.0,3,29.133966128423324,Medium
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41.0,7,36.08806631817539,Medium
Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71.0,6,83.88515679776594,High
USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3.0,5,120.13752657229372,High
UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63.0,5,197.13115100793206,Medium
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27.0,5,454.25961474813,Low
China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11.0,9,138.1212572495307,Low
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3.0,5,61.71935426473596,High
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32.0,5,285.61551167088487,Medium
UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71.0,5,71.6315737894137,Medium
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61.0,2,5.371981964959859,High
UK,2017,Malware,Healthcare,24.06,612319,Unattributed,Social Engineering,Antivirus,47.0,2,39.29324420767606,Medium
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41.0,0,69.86037538735656,Low
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46.0,3,320.7451409291387,High
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13.0,1,85.32501707325991,High
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12.0,1,97.94032643291297,Low
USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47.0,6,238.873915843844,Low
France,2023,Man-in-the-Middle,Government,85.85,841548,Unattributed,Zero-day,Firewall,68.0,8,102.01438301796213,High
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24.0,2,7.317858501888008,High
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2.0,9,78.67335926863622,Medium
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42.0,8,38.201016241052706,High
Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unattributed,Zero-day,Antivirus,7.0,5,215.552955153258,High
Russia,2023,SQL Injection,Retail,34.87,446911,Unattributed,Weak Passwords,Firewall,25.0,8,78.0244836220187,Low
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2.0,8,22.190823078970272,High
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50.0,1,103.79186098719204,High
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59.0,0,104.1143085804635,High
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49.0,8,163.4880216182508,Low
UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69.0,1,101360.54421768707,Medium
USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23.0,8,19.52829770958566,Medium
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35.0,3,30.534490857955134,Low
France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unattributed,Weak Passwords,Antivirus,19.0,1,226.05205133520533,Low
Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62.0,7,743.5527928935538,Low
Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29.0,6,21.518954544276816,Medium
France,2015,Malware,Government,71.91,789673,Unattributed,Weak Passwords,Antivirus,31.0,0,91.06300962550321,High
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12.0,2,408.20817170770965,Medium
China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8.0,5,78.63971863080201,Low
UK,2020,Man-in-the-Middle,IT,85.85,697536,Unattributed,Social Engineering,AI-based Detection,72.0,5,123.07608496192312,High
Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13.0,4,62.153643807492124,High
Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unattributed,Weak Passwords,VPN,1.0,5,80.12902278431865,High
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41.0,6,25.05193580604185,Medium
France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10.0,5,54.78486312529347,Medium
Australia,2018,Malware,Telecommunications,36.01,215231,Unattributed,Zero-day,AI-based Detection,49.0,3,167.30861260692,Low
UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7.0,7,425.84650694051095,Medium
USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67.0,2,21.932365550460993,Low
Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54.0,7,25.858746828161273,Medium
China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32.0,1,594.0972843558907,High
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5.0,1,207.65763591118758,High
UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7.0,6,29.57398738087326,Low
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38.0,4,36.29715981348029,Medium
France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29.0,1,246.60804663879352,High
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35.0,8,59.77594442738529,High
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69.0,0,16.09195150987764,High
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7.0,7,230.870074675061,Medium
Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28.0,5,30.79755437870764,Medium
Brazil,2015,Phishing,Banking,29.61,593384,Unattributed,Zero-day,Firewall,65.0,0,49.90023323850997,Medium
UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56.0,8,212.8836194866812,High
China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71.0,2,149.7503643268528,High
Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13.0,9,97.63236092916254,High
Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2.0,9,950.0504840529785,High
UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59.0,7,271.8616516373991,High
UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55.0,5,15.914987442080221,Low
China,2023,DDoS,Healthcare,97.15,734819,Unattributed,Unpatched Software,AI-based Detection,50.0,8,132.20942844428356,High
Australia,2024,DDoS,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4.0,9,9045.438534695315,High
UK,2018,Man-in-the-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19.0,3,105.7720422949482,High
Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4.0,8,56.45896610650516,Medium
China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15.0,5,18.389432185682228,Medium
USA,2019,DDoS,Telecommunications,43.29,266748,Unattributed,Unpatched Software,Antivirus,30.0,4,162.2880021593414,Low
USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5.0,7,120.40961047076165,High
USA,2020,DDoS,Banking,99.81,948174,Unattributed,Social Engineering,AI-based Detection,4.0,5,105.26548924564479,High
Brazil,2017,DDoS,Healthcare,62.74,460264,Unattributed,Social Engineering,Firewall,9.0,2,136.31307249752317,Medium
USA,2017,DDoS,Government,96.89,794147,Unattributed,Unpatched Software,Antivirus,4.0,2,122.0051199588993,High
France,2015,SQL Injection,IT,43.86,72222,Unattributed,Weak Passwords,Firewall,64.0,0,607.2941762897732,Low
France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53.0,5,66.58755605482546,High
Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16.0,6,107.86845750481726,High
Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unattributed,Weak Passwords,Firewall,58.0,0,167.75455306049685,High
UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11.0,7,16.21689424076264,High
UK,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31.0,6,247.98627065629586,High
India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62.0,7,239.67848550269989,High
China,2023,DDoS,Government,53.46,374484,Unattributed,Unpatched Software,Antivirus,46.0,8,142.75643285160382,Medium
Australia,2020,SQL Injection,IT,21.02,681476,Unattributed,Weak Passwords,VPN,6.0,5,30.84481331697668,Medium
India,2019,SQL Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72.0,4,29.893595117573703,Medium
Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61.0,7,131.0061303115232,High
UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63.0,1,96.35940840386563,Medium
Australia,2022,SQL Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33.0,7,361.07306475227887,Low
Japan,2019,Malware,Telecommunications,5.88,235399,Unattributed,Social Engineering,Antivirus,21.0,4,24.978865670627318,Low
USA,2015,Man-in-the-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36.0,0,55.5944570564597,Low
France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14.0,5,208.43992233541766,High
Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28.0,2,31.556657795647983,Low
India,2022,Man-in-the-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27.0,7,11.316073294625843,Low
China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30.0,1,127.0826516481083,High
Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28.0,7,908.3630815021334,High
France,2016,Ransomware,Healthcare,34.29,157547,Insider,Unpatched Software,AI-based Detection,29.0,1,217.6493363885063,Low
Brazil,2022,SQL Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21.0,7,233.35544777626228,Medium
China,2016,SQL Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50.0,1,165.0029025168968,Medium
Germany,2018,DDoS,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54.0,3,545.5134303584803,High
Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61.0,7,24.51884983365896,Low
Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58.0,8,116.88003089078326,Low
UK,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42.0,3,29.54041113973185,High
France,2017,Malware,Telecommunications,96.63,389525,Unattributed,Zero-day,Antivirus,32.0,2,248.0713689750337,High
India,2019,SQL Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18.0,4,57.47907772028853,High
India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49.0,2,146.9521890892019,High
Brazil,2024,SQL Injection,IT,53.71,680584,Insider,Zero-day,AI-based Detection,5.0,9,78.91751789639486,Medium
China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47.0,3,16.918945473851636,High
Russia,2021,SQL Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19.0,6,82.07135569306452,High
France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37.0,0,28.35837776965457,Medium
India,2021,SQL Injection,IT,52.16,100105,Unattributed,Zero-day,Firewall,56.0,6,521.0528944608161,Medium
USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8.0,8,1506.1113168793563,High
USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41.0,8,390.4364276860852,Low
Brazil,2019,Ransomware,Healthcare,9.32,785564,Insider,Unpatched Software,Antivirus,70.0,4,11.86408745818291,High
China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15.0,8,25.455385295121804,Medium
UK,2019,Ransomware,IT,17.98,799372,Hacker Group,Zero-day,AI-based Detection,14.0,4,22.4926567355374,High
France,2018,SQL Injection,Banking,32.84,77096,Unattributed,Weak Passwords,VPN,29.0,3,425.9624364428765,Low
Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31.0,8,96.891546302633,Medium
Japan,2021,SQL Injection,Telecommunications,28.33,667271,Insider,Weak Passwords,Firewall,22.0,6,42.45651317081066,Medium
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25.0,8,249.55931440573082,Low
Brazil,2019,SQL Injection,Government,24.93,381105,Unattributed,Weak Passwords,Encryption,3.0,4,65.41504309835872,Low
UK,2020,Ransomware,Banking,98.07,795120,Unattributed,Social Engineering,Firewall,42.0,5,123.33987322668277,High
Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56.0,2,338.5530927705071,Medium
India,2023,DDoS,Government,34.46,580270,Unattributed,Unpatched Software,Firewall,35.0,8,59.386147827735364,Medium
UK,2018,Ransomware,Retail,45.67,277410,Hacker Group,Social Engineering,Firewall,42.0,3,164.62997008038644,Low
Australia,2022,Man-in-the-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12.0,7,48.22746131348983,High
Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67.0,4,119.98106807604323,Low
Australia,2016,Phishing,IT,55.18,66776,Unattributed,Zero-day,Encryption,29.0,1,826.3447945369594,Medium
China,2018,DDoS,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21.0,3,192.04364335540492,High
France,2024,SQL Injection,Retail,3.07,901137,Nation-state,Zero-day,Antivirus,10.0,9,3.4068071780428504,High
Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unattributed,Unpatched Software,Encryption,47.0,5,80.92988650162492,Low
USA,2021,Phishing,Banking,28.75,959107,Unattributed,Zero-day,Antivirus,35.0,6,29.975800406002666,High
Russia,2017,Man-in-the-Middle,IT,55.23,12439,Nation-state,Weak Passwords,Firewall,20.0,2,4440.067529544175,Medium
Germany,2021,Man-in-the-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14.0,6,49.341992938460805,Low
USA,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53.0,8,349.30941855792213,Medium
USA,2017,Phishing,Telecommunications,19.6,889404,Unattributed,Weak Passwords,Firewall,60.0,2,22.037229425547896,High
USA,2017,Man-in-the-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63.0,2,104.16041197933039,Medium
Brazil,2015,SQL Injection,IT,86.67,694491,Unattributed,Unpatched Software,Firewall,65.0,0,124.79643364708829,High
Australia,2015,DDoS,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29.0,0,173.11509769213458,Medium
China,2024,SQL Injection,Education,13.61,394335,Unattributed,Zero-day,Encryption,43.0,9,34.513801716814385,Low
Japan,2016,Man-in-the-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15.0,1,96.80446987947725,Medium
Germany,2015,DDoS,IT,91.79,846200,Unattributed,Social Engineering,AI-based Detection,26.0,0,108.4731741904987,High
Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18.0,2,2024.3325447786415,High
UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43.0,6,109.4391914720673,Low
UK,2023,DDoS,Education,54.0,806965,Insider,Social Engineering,AI-based Detection,56.0,8,66.91740038291624,High
Russia,2018,Ransomware,Education,79.93,587346,Hacker Group,Social Engineering,Antivirus,39.0,3,136.086735927375,High
Japan,2015,Phishing,Education,2.43,552342,Unattributed,Zero-day,VPN,62.0,0,4.3994481679828805,Medium
France,2019,DDoS,Education,66.65,47104,Insider,Social Engineering,VPN,5.0,4,1414.9541440217392,Medium
USA,2016,DDoS,Retail,13.83,586557,Hacker Group,Social Engineering,AI-based Detection,37.0,1,23.57827116546218,Medium
Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35.0,2,5.290931343676938,Medium
USA,2022,Man-in-the-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70.0,7,66.98959927928149,High
France,2021,Malware,Telecommunications,68.64,894858,Hacker Group,Social Engineering,Firewall,19.0,6,76.70490737077839,High
UK,2018,Man-in-the-Middle,IT,75.81,574089,Unattributed,Unpatched Software,Firewall,32.0,3,132.05269566217086,High
USA,2015,DDoS,Healthcare,62.99,232622,Nation-state,Weak Passwords,Antivirus,33.0,0,270.7826430862085,Medium
India,2015,Malware,Retail,89.95,917351,Unattributed,Zero-day,Encryption,43.0,0,98.05407090633793,High
Australia,2024,SQL Injection,IT,98.31,694333,Insider,Unpatched Software,VPN,48.0,9,141.58912222233425,High
India,2017,Ransomware,Government,38.87,968822,Nation-state,Weak Passwords,Antivirus,25.0,2,40.12088907972775,High
Brazil,2015,DDoS,Banking,18.87,976838,Unattributed,Weak Passwords,Firewall,65.0,0,19.317430321097255,High
Australia,2019,DDoS,Education,54.63,22739,Insider,Unpatched Software,Firewall,44.0,4,2402.4803201548,Medium
UK,2015,Man-in-the-Middle,Retail,7.92,657442,Nation-state,Social Engineering,Firewall,29.0,0,12.046690050224964,Medium
Brazil,2018,Phishing,Education,57.59,257681,Nation-state,Zero-day,Antivirus,40.0,3,223.49338911289541,Medium
Japan,2021,Man-in-the-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72.0,6,18.584415560207354,Medium
France,2015,Ransomware,IT,84.02,824619,Unattributed,Social Engineering,Firewall,21.0,0,101.88947865620365,High
